en,fr,es,de,de-ch,zh-hans,zh-hant,kr,pt,ar,arb,he,heb,da,sv,no,it,nl,jp-unfinished,th-unfinished,hu-unfinished,pl-unfinished,sk-unfinished,el-unfinished,cs-unfinished,ro-unfinished,hi-unfinished,tr-unfinished,ru-unfinished,de-oe unfinished,ca-unfinished,fi-unfinished
ABANDONING scale updates,ABANDON des mises à jour de la balance,Actualizaciones de la báscula ABANDONOS,Waagenaktualisierung wird VERWORFEN,Waagäaktualisiärig wird VERWORFÄ,放弃蓝牙秤更新,放棄藍牙秤更新,저울 연결 시도 정지,ABANDONANDO atualiações da balança,التخلي عن تحديثات الميزان,ﻥﺍﺰﻴﻤﻟﺍ ﺕﺎﺜﻳﺪﺤﺗ ﻦﻋ ﻲﻠﺨﺘﻟﺍ,עדכוני משקל הוזנחו,וחנזוה לקשמ ינוכדע,FORLADER vægtopdateringer,GER UPP skaluppdateringsförsök,FORLATER vektoppdateringer,SOSPENSIONE degli aggiornamenti della bilancia,Weegschaalupdates worden AFGEBROKEN,,,,,,,,,,,,,,
Retrying scale updates,Reprise des mises à jour de la balance,Reintento de actualizaciones de la báscula,Waagenaktualisierung wird wiederholt,Waagäaktualisiärig wird wiederholt,重试蓝牙秤更新,重試藍牙秤更新,저울 연결 재시도,Tentando novamente atualização da balança,إعادة محاولة تحديث الميزان,ﻥﺍﺰﻴﻤﻟﺍ ﺚﻳﺪﺤﺗ ﺔﻟﻭﺎﺤﻣ ﺓﺩﺎﻋﺇ,מנסה לעדכן משקל שוב,בוש לקשמ ןכדעל הסנמ,Prøver vægtopdateringer igen...,Försöker göra skaluppdatering igen,Prøver vektoppdateringer igjen...,Ripresa degli aggiornamenti della bilancia,Weegschaalupdates worden opnieuw geprobeerd,,,,,,,,,,,,,,
Check scale,Vérifier la balance,Comprobar la báscula,Waage überprüfen,Waag überprüäfä,搜寻蓝牙秤,搜尋藍牙秤,저울을 확인하는 중입니다,Verificar a balança,تحقق من الميزان,ﻥﺍﺰﻴﻤﻟﺍ ﻦﻣ ﻖﻘﺤﺗ,בדוק משקל,לקשמ קודב,Kontroller vægt,Kontrollera skala,Kontroller vekt,Controlla la bilancia,Controleer weegschaal,,,,,,,,,,,,,,
Scale reporting,Rapports de balance,Informes sobre la báscula,Berichterstattungen über die Waage,Brichterschtattigä über d Waag,蓝牙秤连接成功,藍牙秤連接成功,저울 연결이 확인되었습니다,Relatório da balança,مراسلة الميزان,ﻥﺍﺰﻴﻤﻟﺍ ﺔﻠﺳﺍﺮﻣ,משקל מדווח,חוודמ לקשמ,Vægt svarer,Skalrapportering,Vekt svarer,Rapporti sulla bilancia,Weegschaalrapportage,,,,,,,,,,,,,,
WARNING: Scale not connected,ATTENTION : La balance n'est pas connectée,ATENCIÓN: Báscula no conectada,WARNUNG: Waage nicht verbunden,WARNIG: Waag nüd verbundä,警告：未连接蓝牙秤,警告：未連接藍牙秤,경고: 저울이 연결되지 않았습니다,AVISO: Balança não conectada,تحذير: الميزان غير متصل,ﻞﺼﺘﻣ ﺮﻴﻏ ﻥﺍﺰﻴﻤﻟﺍ :ﺮﻳﺬﺤﺗ,אזהרה: משקל לא מחובר,רבוחמ אל לקשמ :הרהזא,ADVARSEL: Vægten er ikke tilsluttet,VARNING: Skala inte ansluten,ADVARSEL: Vekten er ikke tilkoblet,ATTENZIONE: La bilancia non è collegata,WAARSCHUWING: Weegschaal niet verbonden,,,,,,,,,,,,,,
WARNING: Scale not updating,ATTENTION : La balance ne se met pas à jour,ATENCIÓN: La báscula no se actualiza,WARNUNG: Waage aktualisiert nicht,WARNIG: Waag aktualisiärt nüd,警告：蓝牙秤未更新,警告：藍牙秤未更新,경고: 저울이 확인되지 않습니다.,AVISO: Balança não está atualizada,تحذير: الميزان لا يتم تحديثه,ﻪﺜﻳﺪﺤﺗ ﻢﺘﻳ ﻻ ﻥﺍﺰﻴﻤﻟﺍ :ﺮﻳﺬﺤﺗ,אזהרה: משקל לא מתעדכן,ןכדעתמ אל לקשמ :הרהזא,ADVARSEL: Vægten opdateres ikke,VARNING: Skala uppdateras ej,ADVARSEL: Vekten oppdateres ikke,ATTENZIONE: La bilancia non si aggiorna,WAARSCHUWING: Weegschaal updatet niet,,,,,,,,,,,,,,
Stopping for weight,Arrêt pour prise de poids,Parar para obtener datos del peso,Anhalten und Warten auf Gewichtsdaten,Aahaltä und Wartä uf Gwichtsdatä,在设定重量停止,在設定重量停止,목표 무게에 도달했습니다,Parando para medir o pesor,التوقف عند الوزن,ﻥﺯﻮﻟﺍ ﺪﻨﻋ ﻒﻗﻮﺘﻟﺍ,עצור בשביל משקל,לקשמ ליבשב רוצע,Stopper ved vægt,Stoppar på grund av vikt,Stopper ved vekt,Pausa per la pesata,Stoppen voor gewichtsmeting,,,,,,,,,,,,,,
Advancing to next step,Passage à l'étape suivante,Avanzar al siguiente paso,Fortfahren zum nächsten Schritt,Wiiter guh zum nächschtä Schritt,进入下一步,進入下一步,다음 단계로 넘어갑니다,Avançando para a próxima etapa,التقدم إلى الخطوة التالية,ﺔﻴﻟﺎﺘﻟﺍ ﺓﻮﻄﺨﻟﺍ ﻰﻟﺇ ﻡﺪﻘﺘﻟﺍ,התקדם לשלב הבא,אבה בלשל םדקתה,Går videre til næste step,Går vidare till nästa steg,Går videre til neste trinn,Passaggio al prossimo passo,Doorgaan naar de volgende stap,,,,,,,,,,,,,,
The plugin could not be sourced for metadata,Le plugin n'a pas pu être sourcé pour les métadonnées,No se han podido obtener los metadatos del plugin,Das Plugin konnte nicht nach Metadaten durchsucht werden,Ds Plugin hät nüd chännä nach Metadatä dursuächt wärdä,无法为元数据提供插件,無法為元數據提供插件,해당 플러그인은 메타데이터 소스로 이용할 수 없습니다,Não foi possível obter metadados do plugin,تعذر الحصول على المكون الإضافي للبيانات الوصفية,ﺔﻴﻔﺻﻮﻟﺍ ﺕﺎﻧﺎﻴﺒﻠﻟ ﻲﻓﺎﺿﻹﺍ ﻥﻮﻜﻤﻟﺍ ﻰﻠﻋ ﻝﻮﺼﺤﻟﺍ ﺭﺬﻌﺗ,לא ניתן היה למצוא נתונים עבור התוסף,ףסותה רובע םינותנ אוצמל היה ןתינ אל,Plugin kunne ikke hentes til metadata,Insticksmodulen kunde inte tillhandahålla metadata,Plugin kunne ikke hentes til metadata,Non è stato possibile caricare il plugin per i metadati,De metadata van de plug-in konden niet worden opgehaald,,,,,,,,,,,,,,
"With the skin you are using, the steam flow rate is set in real time while steaming.  It is not set on this page.","Avec l'apparence que vous utilisez, le débit de vapeur est réglé en temps réel pendant la cuisson.  Il n'est pas réglé sur cette page.","Con la apariencia que está utilizando, el caudal de vapor se ajusta en tiempo real mientras se vaporiza.  No se ajusta en esta página.",Bei der von Ihnen verwendeten Benutzeroberfläche wird die Durchflussrate des Dampfes in Echtzeit während des Dampfvorganges bestimmt. Sie wird nicht auf dieser Seite eingestellt.,Bi dr vu Ihnä bruchtä Benutzeroberflächi wird d Durchflussratä i Ächtziit währetem Dampfvorgang beschtimmt. Sie wird nüd uf derä Siitä iigschtellt.,对于你使用的皮肤，蒸汽流量是在蒸煮时实时设置的。此页上未设置此选项。,對於你使用的皮膚，蒸汽流量是在蒸煮時實时設定的。 此頁上未設定此選項。,현재 스킨에서 스팀 유량은 스팀 중 실시간으로 조절하실 수 있습니다. 현재 페이지에서는 스팀 유량 조절이 불가능합니다.,"Com a skin que você está usando, a taxa de fluxo de vapor é ajustada em tempo real durante a vaporização. Ela não é definida nesta página.",مع الغلاف المُستخدم ، يتم ضبط معدل تدفق البخار في الوقت الفعلي أثناء التبخير. لا يتم تعيينه في هذه الصفحة.,.ﺔﺤﻔﺼﻟﺍ ﻩﺬﻫ ﻲﻓ ﻪﻨﻴﻴﻌﺗ ﻢﺘﻳ ﻻ .ﺮﻴﺨﺒﺘﻟﺍ ﺀﺎﻨﺛﺃ ﻲﻠﻌﻔﻟﺍ ﺖﻗﻮﻟﺍ ﻲﻓ ﺭﺎﺨﺒﻟﺍ ﻖﻓﺪﺗ ﻝﺪﻌﻣ ﻂﺒﺿ ﻢﺘﻳ ، ﻡﺪﺨﺘﺳُﻤﻟﺍ ﻑﻼﻐﻟﺍ ﻊﻣ,"עם הסקין שבו אתה משתמש, קצב זרימת הקיטור נקבע בזמן אמת בזמן האידוי. זה לא מוגדר בדף זה.",".הז ףדב רדגומ אל הז .יודיאה ןמזב תמא ןמזב עבקנ רוטיקה תמירז בצק ,שמתשמ התא ובש ןיקסה םע","Med det skin, du bruger, indstilles dampflowhastigheden i realtid under steaming. Det indstilles ikke på denne side.",Med temat du använder sätts flödeshastigheten för ånga i realtid under ångingen. Detta sätts inte på denna sida.,"Med det skinnet du bruker, settes dampflowhastigheten i sanntid under steaming. Det settes ikke på denne siden.","Con il tema che stai usando, la portata del vapore viene regolata in tempo reale mentre si monta il latte. Non si imposta da questa pagina.","Bij de interface (skin) die u gebruikt, wordt het stoomdebiet in realtime ingesteld tijdens het stomen. Dit wordt niet op deze pagina ingesteld.",,,,,,,,,,,,,,
0-100 slider,Curseur 0-100,Deslizador 0-100,Schieberegler für 0-100,Schiäbregler für 0-100,0-100 滑块,0-100 滑塊,0-100 슬라이더,Deslizando 0-100,0-100 منزلق,ﻖﻟﺰﻨﻣ 001-0,סליידר 100-0,0-001 רדיילס,0-100 skydeindstiller,0-100-skjutreglage,0–100 skyveinnstilling,Cursore 0-100,Schuifregelaar 0-100,,,,,,,,,,,,,,
0-5 stars,0-5 étoiles,0-5 estrellas,0-5 Sterne,0-5 Schtärnä,0-5 星,0-5 星,0-5 별점,0-5 estrelas,0-5 نجوم,ﻡﻮﺠﻧ 5-0,5-0 כוכבים,םיבכוכ 0-5,0-5 Stjerner,0-5 stjärnor,0–5 Stjerner,Da 0 a 5 stelle,0-5 sterren,,,,,,,,,,,,,,
1 min,1 min,1 min,1 Min,1 Min,1分钟,1分鐘,1 분,1 min,دقيقة واحدة,ﺓﺪﺣﺍﻭ ﺔﻘﻴﻗﺩ,דקה 1,1 הקד,1 min,1 min,1 min,1 min,1 min,,,,,,,,,,,,,,
Absolute,Absolu,Absoluto,Absolut,Absolut,绝对,絕對,절대값,Absoluto,مطلق,ﻖﻠﻄﻣ,מוחלט,טלחומ,Absolut,Absolut,Absolutt,Assoluto,Absoluut,,,,,,,,,,,,,,
Another profile,Autre profil,Otro perfil,Anderes Profil,Äs anders Profil,另一条曲线,另一條曲線,다른 프로파일,Outro perfil,ملف تعريف آخر,ﺮﺧﺁ ﻒﻳﺮﻌﺗ ﻒﻠﻣ,פרופיל נוסף,ףסונ ליפורפ,Anden profil,Annan profil,Annen profil,Altro profilo,Ander profiel,,,,,,,,,,,,,,
Apply edit to:,Appliquer la modification à :,Aplicar edición a:,Modifikation anwenden auf:,Änderigä aawändä uf:,将编辑应用于：,將編輯應用於：,적용할 변경 사항,Aplicar edição em:,تطبيق التعديل على:,:ﻰﻠﻋ ﻞﻳﺪﻌﺘﻟﺍ ﻖﻴﺒﻄﺗ,החל שינוי על:,:לע יוניש לחה,Ret redigering for:,Tillämpa redigering för:,Rediger for:,Applicare modifica a:,Wijziging toepassen op:,,,,,,,,,,,,,,
Apply to,Appliquer à,Aplicar a,Anwenden auf,Aawändä uf,适用于,適用於,설정 적용:,Aplicar em:,تنطبق على,ﻰﻠﻋ ﻖﺒﻄﻨﺗ,החל על,לע לחה,Udfør på,Tillämpa för,Utfør på,Applicare a,Toepassen op,,,,,,,,,,,,,,
Archive,Archives,Archivo,Archiv,Archiv,档案,檔案,아카이브,Arquivar,أرشيف,ﻒﻴﺷﺭﺍ,ארכיון,ןויכרא,Arkiver,Arkiv,Arkiver,Archivio,Archief,,,,,,,,,,,,,,
Barista,Barista,Barista,Barista,Barista,咖啡师,咖啡師,바리스타,Barista,باريستا,ﺎﺘﺴﻳﺭﺎﺑ,בריסטה,הטסירב,Barista,Barista,Barista,Barista,Barista,,,,,,,,,,,,,,
Batch,Lot,Lote,Charge,Chargä,批次,批次,배치,Lote,دُفعة,ﺔﻌﻓُﺩ,אצוה,הוצא,Batch,Omgång,Batch,Lotto,Batch,,,,,,,,,,,,,,
Beans batch,Lot de grains de café,Lote de granos,Bohnencharge,Bohnächargä,咖啡豆批次,咖啡豆批次,원두 배치,Lote dos grãos,دُفعة الحبوب,ﺏﻮﺒﺤﻟﺍ ﺔﻌﻓُﺩ,אצוות פולים,םילופ תווצא,Bønne batch,Bönomgång,Bønnebatch,Lotto di chicchi di caffè,Koffieboonbatch,,,,,,,,,,,,,,
Beans note,Note sur les grains de café,Nota sobre los granos,Bohnennotiz,Bohnänotiz,咖啡豆风味,咖啡豆風味,원두 노트,Nota dos grãos,مُلاحظة على الحبوب,ﺏﻮﺒﺤﻟﺍ ﻰﻠﻋ ﺔﻈﺣﻻُﻣ,הערת פולים,םילופ תרעה,Bønnenote,Bönnotering,Bønnenotat,Note sui chicchi di caffè,Koffieboonnotitie,,,,,,,,,,,,,,
Beans notes,Notes sur les grains de café,Notas sobre los granos,Bohnennotizen,Bohnänotizä,咖啡豆记录（如风味、品相）,咖啡豆記錄（如風味、品相）,원두 노트,Notas dos grãos,مُلاحظات على الحبوب,ﺏﻮﺒﺤﻟﺍ ﻰﻠﻋ ﺕﺎﻈﺣﻻُﻣ,הערות פולים,םילופ תורעה,Bønnenoter,Bönnoteringar,Bønnenotater,Note sui chicchi di caffè,Koffieboonnotities,,,,,,,,,,,,,,
Beans roaster,Torréfacteur des grains,Tostador de granos,Bohnenröster,Bohnäröschter,烘豆商,烘豆商,로스터,Torrefador,مُحمّص الحبوب,ﺏﻮﺒﺤﻟﺍ ﺹّﻤﺣُﻣ,קולה,הלוק,Bønnerister,Bönrostare,Bønnerister,Torrefattore dei chicchi,Koffiebrander,,,,,,,,,,,,,,
Beans type,Type de grains,Tipo de granos,Bohnenart,Bohnäart,咖啡豆种,咖啡豆種,원두 타입,Tipo dos grãos,نوع الحبوب,ﺏﻮﺒﺤﻟﺍ ﻉﻮﻧ,סוג פולים,םילופ גוס,Bønnetype,Böntyp,Bønnetype,Tipo di chicchi,Koffieboonsoort,,,,,,,,,,,,,,
Bev.type,Type de boisson,Tipo de bebida,Getränkeart,Getränkart,饮品种类,飲品種類,추출 타입,Tipo de bebida,نوع المشروب,ﺏﻭﺮﺸﻤﻟﺍ ﻉﻮﻧ,סוג משקה,הקשמ גוס,Driktype,Dyckestyp,Drikktype,Tipo di bevanda,Dranktype,,,,,,,,,,,,,,
Beverage,Boisson,Bebida,Getränk,Getränk,饮品,飲品,음료,Bebida,مشروب,ﺏﻭﺮﺸﻣ,משקה,הקשמ,Drik,Dryck,Drikk,Bevanda,Drank,,,,,,,,,,,,,,
Browse,Naviguer,Buscar,Durchsuchen,Dursuächä,浏览,瀏覽,찾기,Navegar,تصفح,ﺢﻔﺼﺗ,דפדף,ףדפד,Gennemse,Bläddra,Bla gjennom,Navigare,Bladeren,,,,,,,,,,,,,,
Browse shot,Rechercher une extraction,Buscar una extracción,Kaffeezubereitung suchen,Kaffizuäbereitig suächä,浏览萃取,瀏覽萃取,추출 찾기,Navegar por extração,تصفح الرشفة,ﺔﻔﺷﺮﻟﺍ ﺢﻔﺼﺗ,דפדף חליטה,הטילח ףדפד,Gennemse ekstraktioner,Bläddra shot,Bla gjennom ekstraksjoner,Cercare un'estrazione,Extractie zoeken,,,,,,,,,,,,,,
By code,Par code,Por código,Nach Code,Nach Code,按代码,按代碼,코드 검색,Por código,حسب الكود,ﺩﻮﻜﻟﺍ ﺐﺴﺣ,לפי קוד,דוק יפל,Efter kode,Efter kod,Etter kode,Per codice,Op code,,,,,,,,,,,,,,
Calc EY from TDS,Calculer EY à partir de TDS,Calcular EY a partir de TDS,Extraktionsrate (EY) aus Gesamtfeststoffgehalt (TDS) berechnen,Extraktionsratä (EY) und Gsamtfeschtstoffghalt (TDS),用TDS计算萃取率,用TDS計算萃取率,TDS로 수율 계산하기,Calc Rendimento pelo TDS,احسب EY من TDS,SDT ﻦﻣ YE ﺐﺴﺣﺍ,חשב EY מTDS,SDTמ YE בשח,Beregn EY udfra TDS,Beräkna UA från TDS,Beregn EY fra TDS,Calcolare EY a partire da TDS,EY berekenen uit TDS,,,,,,,,,,,,,,
Calibration,Étalonnage,Calibración,Kalibrierung,Kalibriärig,校准,校準,칼리브레이션,Calibração,معايرة,ﺓﺮﻳﺎﻌﻣ,כיול,לויכ,Kalibrering,Kalibrering,Kalibrering,Calibrazione,Kalibratie,,,,,,,,,,,,,,
Change color,Modifier la couleur,Modificar el color,Farbe ändern,Farb änderä,换颜色,換顏色,색상 변경,Alterar cor,تغيير اللون,ﻥﻮﻠﻟﺍ ﺮﻴﻴﻐﺗ,שנה צבע,עבצ הנש,Ændre farve,Ändra färg,Endre farge,Cambiare il colore,Kleur wijzigen,,,,,,,,,,,,,,
Change profile,Modifier le profil,Modificar perfil,Profil ändern,Profil änderä,更换曲线,更換曲線,프로파일 변경,Alterar perfil,تغيير الملف الشخصي,ﻲﺼﺨﺸﻟﺍ ﻒﻠﻤﻟﺍ ﺮﻴﻴﻐﺗ,שנה פרופיל,ליפורפ הנש,Ændre profil,Ändra profil,Endre profil,Cambiare il profilo,Profiel wijzigen,,,,,,,,,,,,,,
Changes here will propagate to next shot,Les modifications apportées ici se propageront à la prochaine extraction,Las modificaciones que se introduzcan aquí se propagarán a la siguiente extracción de café,Änderungen hier werden in die nächste Kaffeezubereitung übernommen,Änderigä da wirded i de nächscht Kaffizuäbereitig übernuh,此处的更改将沿用到下一次萃取,此處的更改將沿用到下一次萃取,여기서 변경한 내용은 다음 추출에도 적용됩니다.,Alterações aqui serão propagadas para a próxima extração,سيتم نشر التغييرات هنا في الرشفة التالية,ﺔﻴﻟﺎﺘﻟﺍ ﺔﻔﺷﺮﻟﺍ ﻲﻓ ﺎﻨﻫ ﺕﺍﺮﻴﻴﻐﺘﻟﺍ ﺮﺸﻧ ﻢﺘﻴﺳ,שינויים כאן יוכלו לחליטה הבאה,האבה הטילחל ולכוי ןאכ םייוניש,Ændringer her vil gælde fra næste ekstraktion,Ändringar här kommer att propagera till nästa shot,Endringer her vil gjelde fra neste ekstraksjon,Le modifiche apportate qui verranno applicate alla prossima estrazione,Wijzigingen worden toegepast op de volgende extractie,,,,,,,,,,,,,,
Chart,Graphique,Gráfico,Diagramm,Diagramm,图表,圖表,그래프,Gráfico,رسم بياني,ﻲﻧﺎﻴﺑ ﻢﺳﺭ,תרשים,םישרת,Diagram,Diagram,Diagram,Grafico,Grafiek,,,,,,,,,,,,,,
Choose a Visualizer action:,Choisissez une action du Visualizer :,Elija una acción del Visualizador:,Wählen Sie eine Visualisierungs-Aktion aus:,Wählet Sie ä Visualisiärigs-Aktion uus:,选择Visualizer操作：,選擇Visualizer操作：,비주얼라이저에서 할 작업 선택,Escolha uma versão do Visualizer,اختر إجراء متخيل:,:ﻞﻴﺨﺘﻣ ﺀﺍﺮﺟﺇ ﺮﺘﺧﺍ,בחר פעולת Visulaizer:,:rezialusiV תלועפ רחב,Vælg en Visualizer aktion,Välj en visualiseraråtgärd:,Velg en Visualizer-handling,Scegli un'azione dal Visualizer:,Kies een Visualizer-actie:,,,,,,,,,,,,,,
Choose a management action:,Choisissez une action de gestion :,Elija una acción de gestión:,Wählen Sie eine Verwaltungsmaßnahme aus:,Wählet Sie ä Verwaltigsmassnahm uus:,选择管理操作：,選擇管理操作：,관리 페이지 작업 선택,Escolha uma ação de gerenciamento:,اختر إجراء إداري:,:ﻱﺭﺍﺩﺇ ﺀﺍﺮﺟﺇ ﺮﺘﺧﺍ,בחר ניהול Visulaizer:,:rezialusiV לוהינ רחב,Vælg en håndteringsaktion,Välj en hanteringsåtgärd,Velg en håndteringshandling,Scegli un'azione di gestione:,Kies een beheeractie:,,,,,,,,,,,,,,
Clear shot data,Effacer les données de l'extraction,Eliminar datos de la extracción,Daten der Kaffeezubereitung löschen,Datä vu dr Kaffizuäbereitig löschä,清除萃取数据,清除萃取數據,추출 데이터 지우기,Limpar dados da extração,مسح بيانات الرشفة,ﺔﻔﺷﺮﻟﺍ ﺕﺎﻧﺎﻴﺑ ﺢﺴﻣ,מחק מידע על החליטה,הטילחה לע עדימ קחמ,Fjern shotdata,Rensa shotdata,Fjern ekstraksjonsdata,Eliminare i dati dell'estrazione,Extractiegegevens wissen,,,,,,,,,,,,,,
Color of shot descriptions summaries,Couleur des résumés des descriptions des extractions,Color de los resúmenes de las descripciones de las extracciones,Farbe der Zusammenfassungen der Kaffeezubereitungs-Beschreibungen ändern,Farb vu dä Zämäfassigä vu dä Kaffizuäbereitigä änderä,萃取描述摘要的颜色,萃取描述摘要的顏色,추출 설명 요약 색상,Cor dos resumos das descrições de extração,لون ملخصات أوصاف الرشفة,ﺔﻔﺷﺮﻟﺍ ﻑﺎﺻﻭﺃ ﺕﺎﺼﺨﻠﻣ ﻥﻮﻟ,צבע של סיכומי תיאורי חליטות,תוטילח ירואית ימוכיס לש עבצ,Farve på ekstraktionsresuméer,Färg på shotbeskrivningssammanfattningar,Farge på sammendrag av ekstraksjonsbeskrivelse,Colore dei riepiloghi delle descrizioni delle estrazioni,Kleur van samenvattingen van extractiebeschrijvingen,,,,,,,,,,,,,,
Compare,Comparer,Comparar,Vergleichen,Vergliichä,对比,對比,비교,Comparar,مقارنة,ﺔﻧﺭﺎﻘﻣ,השווה,הוושה,Sammenlign,Jämför,Sammenlign,Confrontare,Vergelijken,,,,,,,,,,,,,,
Compare to:,Comparer à :,Comparar con:,Vergleichen mit:,Vergliichä mit:,相比于：,相比於：,비교 할 프로파일,Comparar com:,مقارنة ب:,:ﺏ ﺔﻧﺭﺎﻘﻣ,השווה ל:,:ל הוושה,Sammenlign med:,Jämför med:,Sammenlign med:,Confrontare con:,Vergelijken met:,,,,,,,,,,,,,,
Copy to next shot plan,Copie au plan d'extraction suivant,Copiar en el siguiente plan de extracción,Zum nächsten Zubereitungs-Plan kopieren,Zum nächschtä Zuäbereitigs-Plan kopiärä,复制到下一次萃取,複製到下一次萃取,다음 추출로 복사,Copiar para o plano da próxima extração,نسخ إلى خطة الرشفة التالية,ﺔﻴﻟﺎﺘﻟﺍ ﺔﻔﺷﺮﻟﺍ ﺔﻄﺧ ﻰﻟﺇ ﺦﺴﻧ,העתק לתוכנית חליטה הבאה,האבה הטילח תינכותל קתעה,Kopier til næste shot-plan,Kopiera till nästa shotplan,Kopier til neste ekstraksjonsplan,Copia nel prossimo piano di estrazione,Kopiëren naar volgend extractieplan,,,,,,,,,,,,,,
DMY,JMA,DMA,TMJ,TMJ,天月年,天月年,일월년,DDMMAA,DMY,DMY,DMY,YMD,DMY,DMY,DMY,GMA,DMJ,,,,,,,,,,,,,,
DSx skin options,Options d'apparence de DSx,Opciones de apariencia de DSx,Erscheinungsbilder für DSx-Design,Erschiinigsbilder fürs DSx-Design,DSx 皮肤选项,DSx 皮膚選項,DSx 스킨 옵션,Opções de skin DSx,خيارات غُلاف DSx,xSD ﻑﻻُﻏ ﺕﺍﺭﺎﻴﺧ,DSx הגדרות סקין,ןיקס תורדגה xSD,DSx skin optioner,DSx temaalternativ,DSx skin-valg,Opzioni tema DSx,DSx-interface-opties,,,,,,,,,,,,,,
DYE,DYE,DYE,DYE,DYE,DYE,DYE,DYE,DYE,DYE,DYE,DYE,EYD,DYE,DYE,DYE,DYE,DYE,,,,,,,,,,,,,,
DYE PS,DYE PS,DYE PS,DYE PS,DYE PS,DYE PS,DYE PS,DYE PS,Sel DYE,DYE PS,DYE PS,DYE PS,SP EYD,DYE PS,DYE PS,DYE PS,DYE PS,DYE PS,,,,,,,,,,,,,,
DYE PV,DYE PV,DYE PV,DYE PV,DYE PV,DYE PV,DYE PV,DYE PV,Ver DYE,DYE PS,DYE PS,DYE PV,VP EYD,DYE PV,DYE PV,DYE PV,DYE PV,DYE PV,,,,,,,,,,,,,,
DYE settings,Réglages DYE,Ajustes DYE,DYE-Einstellungen,DYE-Iischtellig,DYE设置,DYE設置,DYE 설정,Configurações DYE,إعدادات DYE,EYD ﺕﺍﺩﺍﺪﻋﺇ,DYE הגדרות,תורדגה EYD,DYE indstillinger,DYE-inställningar,DYE innstillinger,Impostazioni DYE,DYE-instellingen,,,,,,,,,,,,,,
Date from,Date du,Fecha de,Datum von,Datum vu,开始于,開始於,날짜 검색 범위,Data de:,بيانات من,ﻦﻣ ﺕﺎﻧﺎﻴﺑ,מתאריך,ךיראתמ,Dato fra,Datum från,Dato fra,Data del,Datum vanaf,,,,,,,,,,,,,,
Default action when DYE icon or button is tapped,Action par défaut lorsque l'on touche l'icône ou le bouton DYE.,Acción por defecto al pulsar el icono o botón DYE,"Standardaktion, wenn das DYE-Symbol oder die Schaltfläche angetippt wird","Standardaktion, wänn ds DYE-Symbol oder d Schaltflächi aatippt wird",点击 DYE 图标或按钮时的默认操作,點擊 DYE 圖標或按鈕時的默認操作,DYE 버튼을 터치할 때 표시되는 페이지 설정,Ação padrão ao tocar no ícone ou botão DYE ,الإجراء الافتراضي عند النقر فوق رمز أو زر DYE,EYD ﺭﺯ ﻭﺃ ﺰﻣﺭ ﻕﻮﻓ ﺮﻘﻨﻟﺍ ﺪﻨﻋ ﻲﺿﺍﺮﺘﻓﻻﺍ ﺀﺍﺮﺟﻹﺍ,פעולת ברירת מחדל כאשר מקישים על סמל או כפתור DYE,EYD רותפכ וא למס לע םישיקמ רשאכ לדחמ תרירב תלועפ,"Standardhandling, når der trykkes på DYE-ikonet eller knappen",Standardåtgärd när DYE-ikon eller knapp trycks ned,Standardhandling når du trykker på DYE-ikonet eller knappen,Azione predefinita quando tocchi l'icona o il pulsante DYE.,Standaardactie wanneer op het DYE-pictogram of de knop wordt getikt,,,,,,,,,,,,,,
Delete,Supprimer,Eliminar,Löschen,Löschä,删除,刪除,삭제,Excluir,حذف,ﻑﺬﺣ,מחק,קחמ,Fjern,Ta bort,Fjern,Eliminare,Verwijderen,,,,,,,,,,,,,,
Delete shot,Supprimer l'extraction,Eliminar la extracción,Kaffeezubereitung löschen,Kaffizuäbereitig löschä,删除萃取,刪除萃取,추출 삭제,Excluir extração,حذف الرشفة,ﺔﻔﺷﺮﻟﺍ ﻑﺬﺣ,מחק חליטה,הטילח קחמ,Slet ekstraktion,Ta bort shot,Fjern ekstraksjon,Eliminare l'estrazione,Extractie verwijderen,,,,,,,,,,,,,,
Describe LAST shot,Décrire la DERNIÈRE extraction,Describir la ÚLTIMA extracción,LETZTE Kaffeezubereitung beschreiben,De LETSCHTI Kaffizuäbereitig beschriibä,描述最后一次萃取,描述最後一次萃取,지난 추출 노트,Descrever última extração,وصف آخر رشفة,ﺔﻔﺷﺭ ﺮﺧﺁ ﻒﺻﻭ,תאר חליטה אחרונה,הנורחא הטילח ראת,Beskriv SENESTE ekstraktion,Beskriv SENASTE shot,Beskriv SISTE ekstraksjon,Descrivere l'ultima estrazione,LAATSTE extractie beschrijven,,,,,,,,,,,,,,
Describe Your Espresso Settings,Décrivez vos réglages pour l'extraction,Describa su configuración para la extracción,Beschreiben Sie Ihre Espresso-Einstellungen,Beschriibet Sie Ihri Espresso-Iischtelligä,描述您的浓缩咖啡设置,描述您的濃縮咖啡設置,추출 설정 노트,Descreva Suas Configurações de Espresso,وصف خصائص الإسبرسو الخاص بك,ﻚﺑ ﺹﺎﺨﻟﺍ ﻮﺳﺮﺒﺳﻹﺍ ﺺﺋﺎﺼﺧ ﻒﺻﻭ,תאר את הגדרות האספרסו שלך,ךלש וסרפסאה תורדגה תא ראת,Beskriv dine espressoindstillinger,Beskriv dina espressoinställningar,Beskriv dine espressoinnstillinger,Impostazioni per Describi il tuo espresso,Beschrijf uw espresso-instellingen,,,,,,,,,,,,,,
